r,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
p26149,MI,0.141479596,0.151563793,0.219303179,0.287972523,0.342762414,0.525780831,0.687015159,0.837070019,1.052857492,1.248838148
p26159,MI,0.233317228,0.243978007,0.344326486,0.457741328,0.551474181,0.863525513,1.151332608,1.391697937,1.736632099,2.059891706
p27005,MN,0.003264912,0.002862913,0.0024951,0.002452572,0.001357584,0.001663267,0.001836695,0.00284865,0.004112684,0.00533583
p27007,MN,0,0,0,0,0,0,0,0,0,0
p27027,MN,0.133861384,0.132910565,0.147834654,0.151151809,0.096000551,0.140574777,0.186322553,0.355701702,0.59380829,0.899195333
p27029,MN,0,0,0,0,0,0,0,0,0,0
p27069,MN,0,0.000425511,0.00124755,0.001262653,0.000775762,0.00093858,0.001020386,0.001556022,0.002214522,0.003153392
p27071,MN,0.037546486,0.037178604,0.041169144,0.041813019,0.025988028,0.03712857,0.048162237,0.087500483,0.141729416,0.214472724
p27077,MN,0.011427191,0.010658461,0.010604174,0.010732551,0.006593977,0.009098556,0.011428327,0.020845887,0.033850553,0.050776806
p27087,MN,0,0,0,7.27E-05,0.000193941,0.000213893,0.000204077,0.000263394,0.00031636,0.000395698
p27089,MN,0.013059647,0.013366449,0.015594373,0.01621957,0.010860668,0.015298363,0.019591419,0.035565055,0.057577575,0.088891266
p27107,MN,0,0.000212755,0.000623775,0.000776795,0.000775762,0.00085557,0.000816309,0.001292628,0.001898162,0.00237419
p27113,MN,0,0.000212755,0.000623775,0.000558592,0.000193941,0.000213893,0.000204077,0.00038292,0.000632721,0.000791397
p27119,MN,0.034281574,0.037507022,0.048030668,0.05152152,0.037624458,0.051290277,0.06367211,0.114570459,0.184438057,0.295120777
p27125,MN,0,0,0,0,0,0,0,0.000119526,0.00031636,0.000395698
p27135,MN,0.001632456,0.002495233,0.004366424,0.005437568,0.005430334,0.006487049,0.006938627,0.010509236,0.014868934,0.02339162
p27001,MN,0.001632456,0.001218701,0.000623775,0.001067733,0.001551524,0.00179415,0.001836695,0.00284865,0.004112684,0.00533583
p27003,MN,1.147616498,1.327361718,1.81830387,2.820195379,3.743439679,5.051785818,6.208847059,8.761376542,11.60441231,14.96273387
p27009,MN,0.09957981,0.107956111,0.136606706,0.175282345,0.183661661,0.252776995,0.316727933,0.488630942,0.702319875,0.975093233
p27011,MN,0.042443853,0.056365852,0.088576038,0.145435693,0.203831474,0.273527657,0.334278579,0.458930555,0.590961048,0.746451007
p27017,MN,0.003264912,0.005415978,0.009980399,0.011192241,0.009115204,0.010800037,0.011428327,0.017499165,0.024992464,0.042381781
p27019,MN,0.009794735,0.014120379,0.023703447,0.029445492,0.029285017,0.043005998,0.057141637,0.084627209,0.117369673,0.185346219
p27021,MN,0.004897368,0.004081614,0.003118875,0.004102181,0.004460632,0.005251568,0.005510086,0.008545951,0.012338052,0.022143553
p27025,MN,0.124066648,0.141980526,0.192122673,0.26681935,0.312438158,0.432155924,0.544070019,0.82532036,1.169267683,1.591933519
p27031,MN,0.021221927,0.021800264,0.025574771,0.026393528,0.017260705,0.025677195,0.03448906,0.063996312,0.105031621,0.159942882
p27035,MN,0.001632456,0.001431456,0.00124755,0.001189919,0.000581822,0.000724687,0.000816309,0.001173102,0.001581802,0.001978492
p27037,MN,0.963148981,1.224965911,1.85136394,2.892641352,3.867949484,5.19616067,6.357211239,8.88724445,11.66072444,14.97621783
p27039,MN,0.048973677,0.053368705,0.067991465,0.087361877,0.09173386,0.127900235,0.162241435,0.25326431,0.367610673,0.513300232
p27041,MN,0.311799077,0.390423636,0.581358218,0.880134214,1.139400482,1.537522928,1.889551503,2.681762379,3.572340552,4.639076265
p27049,MN,0.246500841,0.295294919,0.420424291,0.625679294,0.795156081,1.072861909,1.318339206,1.883444468,2.525187946,3.290580978
p27051,MN,0.019589471,0.020156052,0.023703447,0.02500869,0.017454646,0.026472154,0.036121678,0.070525919,0.119267835,0.180817338
p27053,MN,5.426283411,6.880183317,10.3683866,16.70521364,23.00929577,30.99733233,38.03082085,53.20248072,69.85393691,89.45171426
p27057,MN,0.003264912,0.002650157,0.001871325,0.00189398,0.001163643,0.001366365,0.001428541,0.002202336,0.003163603,0.004148735
p27059,MN,0.029384206,0.036829495,0.054892192,0.096360763,0.142934154,0.19051058,0.231219554,0.31647397,0.40620663,0.508460126
p27061,MN,0.09141753,0.09335239,0.108536835,0.11516043,0.081648954,0.125659828,0.173465685,0.343649849,0.585899283,0.883166812
p27065,MN,0.001632456,0.001431456,0.00124755,0.001553591,0.001551524,0.00179415,0.001836695,0.00284865,0.004112684,0.00533583
p27067,MN,0.486471858,0.716985121,1.223222603,2.074913941,2.992114152,4.006179244,4.884793689,6.659833116,8.512623058,10.64764172
p27075,MN,0.001632456,0.001644212,0.001871325,0.002475855,0.002715167,0.003160515,0.003265236,0.005050987,0.007276287,0.009292813
p27079,MN,0.001632456,0.001644212,0.001871325,0.001821245,0.000969703,0.001235482,0.001428541,0.002202336,0.003163603,0.003956983
p27085,MN,0.737870067,0.939131441,1.420335476,2.374932138,3.382710334,4.533166867,5.532330887,7.581402275,9.743581001,12.24425416
p27093,MN,0.026119294,0.038008935,0.064248816,0.110194728,0.1603888,0.214741479,0.261831146,0.3569393,0.456191558,0.570788706
p27095,MN,0.003264912,0.005415978,0.009980399,0.011919586,0.011054609,0.013104982,0.013877255,0.021137998,0.030054229,0.057725297
p27097,MN,0.058768412,0.079403387,0.126626307,0.214349612,0.308559348,0.412936376,0.503254564,0.686463453,0.877899843,1.098254546
p27109,MN,0.953354245,1.181485286,1.741579556,2.948962599,4.246133474,5.685386434,6.932505081,9.452137293,12.08243273,15.11327664
p27111,MN,0.008162279,0.006944526,0.005613974,0.005827408,0.00387881,0.004775909,0.005306009,0.008163031,0.011705331,0.015024341
p27115,MN,0.004897368,0.004294369,0.003742649,0.005533586,0.006981858,0.0082812,0.008775323,0.013357887,0.018981618,0.031220225
p27121,MN,0.048973677,0.060176878,0.087952263,0.124729657,0.149916012,0.206926703,0.25999445,0.390546008,0.548568767,0.723340744
p27123,MN,1.137821762,1.211969766,1.497683565,1.868940751,1.872883482,2.632349201,3.364213902,5.320132008,7.803975977,10.80632581
p27131,MN,0.125699104,0.127880837,0.147834654,0.153261108,0.101624826,0.152339294,0.205913972,0.379075129,0.619117115,0.959997499
p27137,MN,0.068563148,0.068418627,0.076724314,0.080489806,0.055273045,0.072331683,0.086120611,0.149759156,0.235688426,0.358648646
p27139,MN,0.39015696,0.51891781,0.81652136,1.284415276,1.728979626,2.32438995,2.84585762,3.968618736,5.19400347,6.635978446
p27141,MN,0.065298236,0.100660357,0.177152075,0.277270042,0.371396072,0.497843351,0.607742129,0.839728229,1.088595806,1.431203833
p27143,MN,0.032649118,0.037990365,0.052397093,0.076670125,0.09561267,0.130102852,0.161221048,0.236648042,0.325534753,0.435361096
p27145,MN,0.115904369,0.119292099,0.140349355,0.149758319,0.107830922,0.153290188,0.197954958,0.330554512,0.505543766,0.760991469
p27147,MN,0.321593812,0.37092866,0.506505229,0.750915208,0.950308487,1.287389919,1.588333443,2.284745326,3.083563882,4.021011066
p27149,MN,0.06366578,0.083485,0.129745182,0.19619505,0.253674184,0.349250411,0.437745758,0.628807225,0.847529254,1.085387018
p27151,MN,0.272620135,0.346920201,0.524594701,0.867778863,1.224346425,1.642082122,2.005671473,2.757049578,3.554940735,4.476566904
p27153,MN,0.186099973,0.229991221,0.338086003,0.5060497,0.647179474,0.875710999,1.079160638,1.544267446,2.073741792,2.693896917
p27155,MN,0.022854383,0.025784785,0.03430762,0.053052041,0.070206464,0.094446054,0.115711816,0.162611847,0.214492286,0.275378273
p27157,MN,0.097947354,0.101631281,0.121012333,0.152298471,0.154764525,0.212772074,0.266320846,0.416759617,0.606146342,0.839844294
p27159,MN,0.039178942,0.039248327,0.044288019,0.046351606,0.031612303,0.047647945,0.064692497,0.128198584,0.21860497,0.33459641
p27163,MN,1.128027027,1.539109061,2.474515078,3.904756026,5.272466641,7.107839067,8.726752496,12.18647795,15.9717663,20.44548292
p27167,MN,0,0.000212755,0.000623775,0.000704061,0.000581822,0.000724687,0.000816309,0.001292628,0.001898162,0.00237419
p27169,MN,0.122434192,0.136081206,0.17777585,0.230842176,0.246304445,0.338632209,0.423868503,0.627390978,0.869674475,1.196689763
p27171,MN,0.403216607,0.503349523,0.747282345,1.154259372,1.525729974,2.084043664,2.592189566,3.75715979,5.107637107,6.574356789
p27023,MN,0.003264912,0.003713934,0.004990199,0.008905538,0.013381895,0.017912948,0.021836269,0.032964205,0.046504965,0.058167651
p27073,MN,0.042443853,0.062323003,0.106041735,0.181005511,0.262401507,0.351321721,0.428358203,0.58406056,0.746610317,0.933847998
p27081,MN,0.029384206,0.031085099,0.03805027,0.045202488,0.041503269,0.059137534,0.076528979,0.128534724,0.19740883,0.277787811
p27083,MN,0.09141753,0.106543226,0.147210879,0.232492213,0.314183622,0.422708667,0.517948128,0.727540098,0.959204442,1.235231374
p27101,MN,0.053871045,0.053620722,0.059882392,0.061552894,0.039757804,0.059038708,0.079181983,0.153712537,0.259099089,0.391957112
p27105,MN,0.073460515,0.073138507,0.081714514,0.08459487,0.055854866,0.083349538,0.112242502,0.219450863,0.371406997,0.557741272
p27117,MN,0.021221927,0.021161997,0.023703447,0.026245176,0.020751634,0.028863187,0.036529832,0.061251594,0.09395901,0.134971827
p27127,MN,0.060400868,0.060410324,0.067991465,0.071433031,0.049260889,0.072009728,0.095304088,0.178225974,0.293898722,0.440277725
p27129,MN,0.060400868,0.080196577,0.126002532,0.21379102,0.308365407,0.412390446,0.502234177,0.685505059,0.877267123,1.097463149
p27133,MN,0.003264912,0.00392669,0.005613974,0.009318661,0.013187955,0.017616046,0.021428114,0.029329747,0.037646876,0.047088098
p27173,MN,0.001632456,0.002282478,0.003742649,0.006406399,0.009309144,0.012508099,0.015305796,0.020949819,0.026890626,0.033634356
p27013,MN,0.014692103,0.02203159,0.03805027,0.050075696,0.054497283,0.078282885,0.102038638,0.146996376,0.198674271,0.296820034
p27015,MN,0.158348222,0.18587021,0.258866589,0.391322366,0.505796844,0.684172249,0.842839152,1.197781572,1.597619535,2.0770865
p27033,MN,0.031016662,0.030814512,0.03430762,0.035813975,0.024242563,0.035784602,0.047754083,0.09247188,0.15564927,0.236677249
p27043,MN,0.037546486,0.038667892,0.045535569,0.056851535,0.057018509,0.078241168,0.097753015,0.152939572,0.222401294,0.307513961
p27045,MN,0.158348222,0.200337578,0.301283283,0.511351092,0.737749691,0.987386183,1.203443699,1.641325833,2.098734256,2.625254301
p27047,MN,0.620333242,0.744794515,1.062912451,1.705588033,2.340280106,3.144509999,3.847877048,5.344595876,6.966253892,8.860350424
p27055,MN,0.022854383,0.032380202,0.053644642,0.091388653,0.132267426,0.177003289,0.215709681,0.294185025,0.376152401,0.470485284
p27063,MN,0.034281574,0.051761635,0.089823587,0.151935226,0.218570952,0.292605815,0.356727079,0.486469603,0.621964358,0.777942866
p27091,MN,0.014692103,0.014797906,0.016841923,0.017700426,0.012218252,0.01696163,0.021428114,0.036740345,0.057261215,0.084277024
p27099,MN,0.321593812,0.390927668,0.565140071,0.924089322,1.290286197,1.731241473,2.115465048,2.920748375,3.783352875,4.786230077
p27103,MN,0.057135956,0.069887225,0.101675311,0.140218998,0.162716086,0.226107189,0.285912264,0.420291767,0.578939356,0.806773
p27161,MN,0.166510502,0.19175096,0.261361688,0.397775333,0.517821155,0.703825316,0.871205893,1.253158905,1.691262185,2.189227646
p27165,MN,0.024486838,0.024450421,0.027446096,0.028942118,0.020169813,0.030296745,0.041019533,0.079357419,0.133504048,0.195172225
p29003,MO,0.181530012,0.203836916,0.232614301,0.284773116,0.331243945,0.455770648,0.522113993,0.693442358,0.857201154,0.81894388
p29005,MO,0.073197585,0.083384434,0.096482068,0.121455032,0.145090323,0.204465415,0.239573503,0.32242815,0.403388778,0.377049838
p29021,MO,1.065756844,1.179538161,1.326958851,1.608177623,1.851954785,2.5314333,2.881392187,3.703249628,4.437276562,4.200687167
p29025,MO,0.103940571,0.116258928,0.132167216,0.160318947,0.184784845,0.256739057,0.296862819,0.380125,0.453812376,0.441894042
p29033,MO,0.124435895,0.139348464,0.158600659,0.192382736,0.221741815,0.30369322,0.346339956,0.454106007,0.55465957,0.536156514
p29037,MO,1.118459106,1.241006265,1.39965082,1.6979854,1.957350585,2.686515633,3.070186524,3.972122198,4.790241743,4.530605778
p29041,MO,0.096620813,0.108096466,0.122915511,0.149363733,0.172465856,0.238004407,0.273426281,0.365216431,0.453812376,0.424181066
p29047,MO,2.842994218,3.207373723,3.676891956,4.521983912,5.283477804,7.132072708,8.017900176,10.24377782,12.20251055,12.13198976
p29049,MO,0.213736949,0.241042277,0.276229482,0.339132649,0.395576447,0.553029041,0.643202775,0.855484687,1.058895543,1.007468808
p29061,MO,0.095156861,0.106112011,0.120272167,0.146572863,0.169728303,0.234997375,0.270822221,0.363559923,0.453812376,0.424181066
p29063,MO,0.109796378,0.125369952,0.145383938,0.189706482,0.234060804,0.326474651,0.378890703,0.517319714,0.655506765,0.718983866
p29075,MO,0.076125489,0.086766739,0.100447084,0.12742209,0.153302983,0.215220847,0.251291772,0.329882435,0.403388778,0.394762814
p29079,MO,0.12004404,0.133395101,0.150670627,0.182229374,0.209422825,0.287849128,0.329413567,0.443338707,0.55465957,0.518443521
p29081,MO,0.127363799,0.139797754,0.155957315,0.187811114,0.214897931,0.292706969,0.332017627,0.444995215,0.55465957,0.518443521
p29087,MO,0.071733634,0.081986582,0.095160396,0.123027517,0.15056543,0.211635703,0.247385683,0.327397673,0.403388778,0.394762814
p29095,MO,11.77163569,13.47801271,15.66974516,19.71935902,23.54980197,32.47812309,37.28883455,47.35445438,56.07104019,57.77696011
p29101,MO,0.540198181,0.602624368,0.683304508,0.828285049,0.954037313,1.313303968,1.505146574,1.977638102,2.42033267,2.280012023
p29107,MO,0.373307686,0.414525774,0.467871945,0.565807677,0.650168901,0.892228535,1.019489418,1.349894212,1.663978711,1.573043574
p29115,MO,0.17128235,0.191118941,0.216754235,0.262685639,0.302499636,0.413212689,0.470032797,0.617804843,0.756353959,0.724681425
p29117,MO,0.18006606,0.201852461,0.229970956,0.278420742,0.320293732,0.437961403,0.498677455,0.636026427,0.756353959,0.742394401
p29129,MO,0.048310406,0.055514741,0.064761936,0.080841582,0.095814364,0.135886045,0.160149679,0.208143625,0.252117986,0.253369131
p29147,MO,0.229840418,0.257591847,0.29341122,0.362615561,0.425689533,0.587262618,0.674451493,0.875362779,1.058895543,1.007468808
p29159,MO,0.589972539,0.687693911,0.81282838,1.021428169,1.218211204,1.646262836,1.85278856,2.305050277,2.672450657,2.816788803
p29165,MO,2.996709148,3.164088684,3.387445752,3.962329664,4.397879322,5.696230352,6.132560869,7.492947576,8.521587943,21.09049471
p29171,MO,0.067341779,0.075446616,0.085908691,0.103762127,0.119083567,0.164914488,0.190096367,0.248447143,0.302541584,0.282787383
p29177,MO,0.23130437,0.258989698,0.294732892,0.357481572,0.412001767,0.569915011,0.656223074,0.863767225,1.058895543,0.989755832
p29195,MO,0.447969223,0.48640279,0.536598898,0.64133822,0.728189169,0.962319937,1.058550316,1.310980785,1.512707919,2.565280486
p29211,MO,0.073197585,0.082211227,0.093838724,0.11391549,0.131402557,0.182492914,0.210928845,0.282952885,0.352965181,0.329918611
p29227,MO,0.029279034,0.033823056,0.039650165,0.051360396,0.062963725,0.088239425,0.102860363,0.129193095,0.151270792,0.159106676
p29009,MO,0.487495919,0.548782105,0.627794277,0.75839868,0.870541939,1.180543558,1.333278626,1.69827915,2.016943892,1.956101113
p29011,MO,0.247407839,0.269086633,0.297376237,0.365021114,0.425689533,0.568184933,0.631484506,0.78426936,0.907624751,1.238047653
p29013,MO,0.18884977,0.210239569,0.237900989,0.287386936,0.329875169,0.454845244,0.522113993,0.672188677,0.806777557,0.771812653
p29015,MO,0.35134841,0.395317815,0.45201188,0.550249625,0.636481134,0.876615263,1.005167089,1.31952974,1.613555113,1.543625323
p29039,MO,0.223984611,0.246134411,0.27490781,0.330020622,0.376413574,0.508277237,0.57159113,0.724916003,0.857201154,0.854369849
p29043,MO,1.061364989,1.178864226,1.330923867,1.601085831,1.830054359,2.480783906,2.800666333,3.566883167,4.235582173,4.189292033
p29057,MO,0.096620813,0.108096466,0.122915511,0.149957317,0.173834632,0.2383517,0.272124251,0.343134496,0.403388778,0.394762814
p29067,MO,0.159570736,0.177589719,0.200894169,0.243566082,0.28059921,0.38510965,0.440086109,0.577501324,0.705930362,0.695263173
p29077,MO,4.488475939,5.092977787,5.870867745,7.113235509,8.189390596,11.11431601,12.56198456,15.68482536,18.25334222,18.86822902
p29083,MO,0.278150825,0.308413763,0.347599779,0.420421982,0.483178152,0.663706862,0.759083437,0.99296032,1.210166335,1.131149515
p29085,MO,0.152250978,0.171187066,0.19560748,0.237984342,0.275124103,0.38082992,0.438784079,0.576673071,0.705930362,0.659837221
p29097,MO,1.386362268,1.539635069,1.737998893,2.135944203,2.493911026,3.422156191,3.909995815,5.016434255,6.000408078,5.732607214
p29109,MO,0.490423822,0.548644792,0.623829261,0.747682951,0.851379066,1.15486944,1.304633968,1.658803885,1.966520294,1.979821789
p29119,MO,0.234232273,0.262372004,0.298697909,0.362855045,0.41884565,0.580901261,0.670545403,0.894131698,1.10931914,1.03688706
p29145,MO,0.995487162,1.065513051,1.157784814,1.366642027,1.531661053,2.030457725,2.240793472,2.785660406,3.227110227,3.0341117
p29153,MO,0.127363799,0.143317373,0.163887348,0.199745228,0.231323251,0.319998949,0.368474464,0.489440002,0.605083168,0.565574766
p29167,MO,0.455288981,0.525068616,0.614577555,0.74444433,0.856854172,1.140071484,1.262969011,1.589792401,1.8656731,1.938698261
p29185,MO,0.133219606,0.150081984,0.171817381,0.207524255,0.238167134,0.327516529,0.374984614,0.493581272,0.605083168,0.565574766
p29209,MO,0.581188828,0.642937409,0.722954673,0.871335269,0.997838166,1.357947813,1.538999352,1.97791902,2.369909073,2.37458462
p29213,MO,1.112603299,1.222509591,1.365287344,1.637960726,1.867011328,2.484379693,2.752491226,3.429969372,3.983464186,4.414173319
p29217,MO,0.257655501,0.288843845,0.329096368,0.410976821,0.487284481,0.671686081,0.770801706,1.000414604,1.210166335,1.237427388
p29225,MO,0.386483251,0.432972467,0.492983717,0.599443952,0.692600976,0.944040539,1.071570615,1.361770685,1.613555113,1.561338298
p29001,MO,0.323533328,0.365825626,0.420291748,0.516759184,0.603630495,0.832437313,0.955689953,1.224295052,1.462284322,1.437657574
p29045,MO,0.077589441,0.086991384,0.099125412,0.120684398,0.139615217,0.193826458,0.223949144,0.291235424,0.352965181,0.329918611
p29103,MO,0.05123831,0.057137237,0.064761936,0.07906083,0.091708034,0.126750603,0.14582735,0.199032833,0.252117986,0.235656155
p29111,MO,0.105404523,0.118243383,0.134810561,0.163703401,0.188891175,0.262405829,0.303372969,0.40551995,0.504235973,0.471312294
p29121,MO,0.234232273,0.259438988,0.292089548,0.351722782,0.40242033,0.544359495,0.613256087,0.772673807,0.907624751,0.954640005
p29127,MO,0.418690189,0.456099353,0.504878766,0.602505523,0.68301954,0.921375581,1.035113777,1.40234062,1.764825905,1.649593054
p29137,MO,0.12004404,0.134568307,0.153313971,0.186207412,0.214897931,0.295019416,0.337225746,0.44830823,0.55465957,0.518443521
p29173,MO,0.115652185,0.129788151,0.148027282,0.180625672,0.209422825,0.290161575,0.334621686,0.446651722,0.55465957,0.518443521
p29197,MO,0.05123831,0.05772384,0.066083608,0.081049849,0.094445588,0.129179523,0.14712938,0.199861086,0.252117986,0.235656155
p29199,MO,0.087837103,0.09618974,0.107055445,0.128463424,0.1464591,0.195562921,0.217438995,0.265840474,0.302541584,0.353639287
p29205,MO,0.074661537,0.083022475,0.093838724,0.11391549,0.131402557,0.181336691,0.208324785,0.281296378,0.352965181,0.329918611
p29007,MO,0.284006632,0.314005168,0.352886467,0.425410139,0.487284481,0.668217411,0.762989526,0.974191401,1.159742738,1.101731263
p29019,MO,2.497501615,2.743735317,3.063636072,3.631726174,4.088535803,5.451246031,6.051835014,7.569117924,8.824129526,8.743928628
p29027,MO,0.430401802,0.480187432,0.544528931,0.660395343,0.761039808,1.054481155,1.216095934,1.581228944,1.916096697,1.808699712
p29031,MO,1.232647339,1.34241282,1.48555951,1.772661909,2.009364098,2.712431213,3.049354046,4.128899584,5.193630521,5.704739634
p29051,MO,0.99402321,1.105764022,1.250301866,1.515370709,1.745190207,2.386987797,2.718638449,3.472195815,4.134734978,3.935612777
p29053,MO,0.228376467,0.274965296,0.334383057,0.424868737,0.511922461,0.679093573,0.749969227,0.944655181,1.10931914,1.338007684
p29071,MO,1.308772828,1.481387238,1.703635417,2.100256476,2.45969161,3.3504597,3.800625303,4.819338849,5.697866494,5.6446626
p29073,MO,0.203489288,0.226564493,0.256404399,0.310484531,0.357250701,0.490696682,0.561174891,0.739543654,0.907624751,0.848362132
p29089,MO,0.101012668,0.114049829,0.130845544,0.158923512,0.183416069,0.254079317,0.292956729,0.377640238,0.453812376,0.441894042
p29099,MO,2.671711869,2.992790656,3.407270834,4.123347025,4.741442257,6.490431405,7.39813394,10.74218359,14.32030163,16.34333667
p29113,MO,1.228255484,1.299503459,1.394364131,1.634826007,1.819104146,2.377414133,2.584529368,3.153095181,3.580075408,6.091828942
p29125,MO,0.098084764,0.110667523,0.126880528,0.154143622,0.177940962,0.247487141,0.28644658,0.373498969,0.453812376,0.424181066
p29131,MO,0.329389134,0.37317684,0.429543453,0.523559309,0.606368049,0.829663229,0.945273714,1.260176383,1.563131516,1.531920047
p29133,MO,0.163962591,0.180610066,0.202215841,0.242587181,0.27649288,0.377708543,0.42966987,0.549621613,0.655506765,0.683557897
p29135,MO,0.159570736,0.177589719,0.200894169,0.242378914,0.277861657,0.383258841,0.440086109,0.577501324,0.705930362,0.712976149
p29139,MO,0.149323074,0.16780476,0.191642464,0.232610869,0.26828022,0.369265558,0.42315972,0.545480344,0.655506765,0.63041897
p29141,MO,0.373307686,0.418631996,0.477123651,0.580917979,0.672069327,0.930737584,1.072872645,1.4051063,1.714402308,1.655600754
p29151,MO,0.142003316,0.159642298,0.182390758,0.221655655,0.25596123,0.356312025,0.412743481,0.538854313,0.655506765,0.63041897
p29157,MO,0.226912515,0.255969351,0.29341122,0.362021977,0.424320756,0.581134209,0.662733223,0.846654814,1.008471946,0.995763532
p29163,MO,0.190313722,0.211050817,0.237900989,0.288574104,0.332612722,0.457274164,0.523416023,0.694270612,0.857201154,0.81894388
p29175,MO,0.339636796,0.385894815,0.445403519,0.538523777,0.618687038,0.834523198,0.937461534,1.170192136,1.361437127,1.41424704
p29183,MO,4.405030692,4.928829414,5.60521164,6.829785144,7.90742261,10.7450462,12.15965732,15.55641702,18.5558838,18.14137664
p29186,MO,0.215200901,0.244786541,0.282837843,0.356200753,0.425689533,0.583793948,0.666639313,0.849139575,1.008471946,0.978050556
p29187,MO,0.755399082,0.845064496,0.960855662,1.169406718,1.352351314,1.86529326,2.141839199,2.786474158,3.378381019,3.210931335
p29189,MO,20.84123596,22.6723154,25.06151701,30.09427663,34.33470252,45.63126813,50.49056671,62.48680674,72.04816321,104.4087952
p29201,MO,0.486031967,0.534478985,0.597395817,0.717399914,0.818528427,1.115316384,1.265573071,1.63395627,1.966520294,1.908969885
p29219,MO,0.389411155,0.434594963,0.492983717,0.597069616,0.68712587,0.940917033,1.072872645,1.4051063,1.714402308,1.637887778
p29510,MO,6.259438076,6.80938283,7.526953494,9.038487996,10.3120537,13.70485406,15.16429142,18.76723137,21.63888057,31.35804372
p29017,MO,0.131755654,0.147510927,0.167852365,0.204525118,0.236798358,0.328903572,0.380192733,0.496894287,0.605083168,0.565574766
p29055,MO,0.289862438,0.321942985,0.363459845,0.438947955,0.503709801,0.693775055,0.795540274,1.037405108,1.260589932,1.195993719
p29093,MO,0.161034688,0.175467951,0.194285808,0.232433819,0.26417389,0.35781767,0.403629272,0.533056537,0.655506765,0.701270873
p29123,MO,0.181530012,0.198557487,0.220719251,0.26331044,0.298393306,0.402342912,0.451804378,0.563701928,0.655506765,0.63041897
p29161,MO,0.53141447,0.587784626,0.660836081,0.798033229,0.915711568,1.251549721,1.42442072,1.82001796,2.168214684,2.062068844
p29169,MO,0.442113416,0.491956845,0.55642398,0.672360675,0.771990021,1.063040614,1.218699994,1.604139133,1.966520294,1.85583094
p29179,MO,0.086373151,0.096551698,0.109698789,0.133035047,0.153302983,0.212330289,0.244781623,0.325741166,0.403388778,0.377049838
p29221,MO,0.245943887,0.275314623,0.313236302,0.380579167,0.439377299,0.609235119,0.703096151,0.914838044,1.10931914,1.054600036
p29023,MO,0.699768917,0.756749961,0.83133179,0.989916031,1.119659286,1.501010531,1.675712492,2.234915119,2.773297851,2.609930634
p29029,MO,1.061364989,1.205261367,1.390399115,1.692372443,1.957350585,2.673219064,3.040239836,3.910564999,4.689394548,4.64889905
p29035,MO,0.071733634,0.080226773,0.091195379,0.11112462,0.128665004,0.178329659,0.205720726,0.27963987,0.352965181,0.329918611
p29059,MO,0.216664853,0.24383798,0.278872826,0.339549183,0.392838894,0.533256771,0.602839848,0.766047776,0.907624751,0.883788101
p29065,MO,0.199097432,0.222957543,0.253761055,0.305319325,0.349038041,0.475894469,0.540342412,0.705037912,0.857201154,0.854369849
p29069,MO,0.42015414,0.461016823,0.514130471,0.616428656,0.702182413,0.95398704,1.079382794,1.409247569,1.714402308,1.726452675
p29091,MO,0.446505271,0.496150398,0.560388997,0.678327732,0.780202681,1.073217934,1.229116234,1.610765163,1.966520294,1.873543933
p29105,MO,0.377699541,0.419892534,0.474480306,0.572784853,0.657012784,0.902636674,1.032509717,1.379430432,1.714402308,1.602461826
p29143,MO,0.316213569,0.34769091,0.388571616,0.464274053,0.526979004,0.712397489,0.802050424,1.020292696,1.210166335,1.379131212
p29149,MO,0.121507992,0.135966159,0.154635643,0.187009263,0.214897931,0.298488086,0.345037926,0.453277753,0.55465957,0.518443521
p29155,MO,0.595828345,0.625825954,0.66612277,0.778090855,0.862329279,1.118336188,1.205679695,1.468334509,1.663978711,5.221917072
p29181,MO,0.143467267,0.160453546,0.182390758,0.221062071,0.254592454,0.352496062,0.406233331,0.534713044,0.655506765,0.612705994
p29203,MO,0.090765006,0.101331855,0.114985478,0.139803955,0.161515643,0.224241943,0.259103952,0.334851958,0.403388778,0.377049838
p29207,MO,0.786142068,0.831597343,0.89212871,1.046983035,1.166197691,1.524380718,1.657484073,2.032036437,2.319485476,2.717138896
p29215,MO,0.275222921,0.308551076,0.351564795,0.426982624,0.492759588,0.680590703,0.782519975,1.02912257,1.260589932,1.195993719
p29223,MO,0.165426543,0.186700743,0.21411089,0.260488353,0.301130859,0.420380848,0.488261216,0.650654078,0.806777557,0.754099677
p29229,MO,0.215200901,0.23892051,0.269621121,0.325032465,0.372307244,0.511282141,0.584611429,0.754452222,0.907624751,0.866075125
p28001,MS,0.029991837,0.023002721,0.086177143,0.193829042,0.114942758,0.155507044,0.154084637,0.183098589,0.174739653,0.20447945
p28005,MS,0.007497959,0.006147279,0.024622041,0.061659963,0.041261503,0.058037091,0.059645666,0.082904176,0.092862344,0.108476039
p28007,MS,0.007497959,0.005354082,0.018466531,0.047344014,0.032419752,0.044512152,0.044734249,0.059383634,0.063786711,0.074751508
p28011,MS,0.014995918,0.010708163,0.036933061,0.088093779,0.055997754,0.076769188,0.077042318,0.103749663,0.112953933,0.132439028
p28015,MS,0.00374898,0.002280442,0.00615551,0.018712115,0.014736251,0.02000192,0.019881889,0.027771042,0.031239971,0.036626012
p28021,MS,0.00374898,0.002280442,0.00615551,0.018712115,0.014736251,0.018732097,0.017396653,0.024584467,0.027932209,0.032746849
