"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2016/01/02 07:00:00","MHK VL","662","12"
"2016/01/02 07:00:00","MILLWD","265","12"
"2016/01/02 07:00:00","N.Y.C.","4508","12"
"2016/01/02 07:00:00","NORTH","502","12"
"2016/01/02 07:00:00","WEST","1545","12"
"2016/01/02 08:00:00","CAPITL","1182","13"
"2016/01/02 08:00:00","CENTRL","1634","13"
"2016/01/02 08:00:00","DUNWOD","622","13"
"2016/01/02 08:00:00","GENESE","969","13"
"2016/01/02 08:00:00","HUD VL","970","13"
"2016/01/02 08:00:00","LONGIL","2052","13"
"2016/01/02 08:00:00","MHK VL","703","13"
"2016/01/02 08:00:00","MILLWD","281","13"
"2016/01/02 08:00:00","N.Y.C.","4788","13"
"2016/01/02 08:00:00","NORTH","514","13"
"2016/01/02 08:00:00","WEST","1593","13"
"2016/01/02 09:00:00","CAPITL","1227","14"
"2016/01/02 09:00:00","CENTRL","1692","14"
"2016/01/02 09:00:00","DUNWOD","646","14"
"2016/01/02 09:00:00","GENESE","1008","14"
"2016/01/02 09:00:00","HUD VL","1001","14"
"2016/01/02 09:00:00","LONGIL","2164","14"
"2016/01/02 09:00:00","MHK VL","737","14"
"2016/01/02 09:00:00","MILLWD","289","14"
"2016/01/02 09:00:00","N.Y.C.","5088","14"
"2016/01/02 09:00:00","NORTH","521","14"
"2016/01/02 09:00:00","WEST","1638","14"
"2016/01/02 10:00:00","CAPITL","1256","15"
"2016/01/02 10:00:00","CENTRL","1726","15"
"2016/01/02 10:00:00","DUNWOD","662","15"
"2016/01/02 10:00:00","GENESE","1034","15"
"2016/01/02 10:00:00","HUD VL","1026","15"
"2016/01/02 10:00:00","LONGIL","2243","15"
"2016/01/02 10:00:00","MHK VL","760","15"
"2016/01/02 10:00:00","MILLWD","297","15"
"2016/01/02 10:00:00","N.Y.C.","5310","15"
"2016/01/02 10:00:00","NORTH","521","15"
"2016/01/02 10:00:00","WEST","1671","15"
"2016/01/02 11:00:00","CAPITL","1263","16"
"2016/01/02 11:00:00","CENTRL","1735","16"
"2016/01/02 11:00:00","DUNWOD","664","16"
"2016/01/02 11:00:00","GENESE","1046","16"
"2016/01/02 11:00:00","HUD VL","1026","16"
"2016/01/02 11:00:00","LONGIL","2297","16"
"2016/01/02 11:00:00","MHK VL","763","16"
"2016/01/02 11:00:00","MILLWD","301","16"
"2016/01/02 11:00:00","N.Y.C.","5458","16"
"2016/01/02 11:00:00","NORTH","519","16"
"2016/01/02 11:00:00","WEST","1693","16"
"2016/01/02 12:00:00","CAPITL","1252","17"
"2016/01/02 12:00:00","CENTRL","1718","17"
"2016/01/02 12:00:00","DUNWOD","663","17"
"2016/01/02 12:00:00","GENESE","1042","17"
"2016/01/02 12:00:00","HUD VL","1019","17"
"2016/01/02 12:00:00","LONGIL","2284","17"
"2016/01/02 12:00:00","MHK VL","742","17"
"2016/01/02 12:00:00","MILLWD","294","17"
"2016/01/02 12:00:00","N.Y.C.","5478","17"
"2016/01/02 12:00:00","NORTH","519","17"
"2016/01/02 12:00:00","WEST","1683","17"
"2016/01/02 13:00:00","CAPITL","1235","18"
"2016/01/02 13:00:00","CENTRL","1706","18"
"2016/01/02 13:00:00","DUNWOD","655","18"
"2016/01/02 13:00:00","GENESE","1038","18"
"2016/01/02 13:00:00","HUD VL","1006","18"
"2016/01/02 13:00:00","LONGIL","2246","18"
"2016/01/02 13:00:00","MHK VL","727","18"
"2016/01/02 13:00:00","MILLWD","287","18"
"2016/01/02 13:00:00","N.Y.C.","5446","18"
"2016/01/02 13:00:00","NORTH","518","18"
"2016/01/02 13:00:00","WEST","1677","18"
"2016/01/02 14:00:00","CAPITL","1232","19"
"2016/01/02 14:00:00","CENTRL","1695","19"
"2016/01/02 14:00:00","DUNWOD","650","19"
"2016/01/02 14:00:00","GENESE","1039","19"
"2016/01/02 14:00:00","HUD VL","1003","19"
"2016/01/02 14:00:00","LONGIL","2216","19"
"2016/01/02 14:00:00","MHK VL","725","19"
"2016/01/02 14:00:00","MILLWD","281","19"
"2016/01/02 14:00:00","N.Y.C.","5421","19"
"2016/01/02 14:00:00","NORTH","512","19"
"2016/01/02 14:00:00","WEST","1681","19"
"2016/01/02 15:00:00","CAPITL","1239","20"
"2016/01/02 15:00:00","CENTRL","1709","20"
"2016/01/02 15:00:00","DUNWOD","645","20"
"2016/01/02 15:00:00","GENESE","1034","20"
"2016/01/02 15:00:00","HUD VL","1004","20"
"2016/01/02 15:00:00","LONGIL","2196","20"
"2016/01/02 15:00:00","MHK VL","729","20"
"2016/01/02 15:00:00","MILLWD","281","20"
"2016/01/02 15:00:00","N.Y.C.","5377","20"
"2016/01/02 15:00:00","NORTH","512","20"
"2016/01/02 15:00:00","WEST","1674","20"
"2016/01/02 16:00:00","CAPITL","1318","21"
"2016/01/02 16:00:00","CENTRL","1773","21"
"2016/01/02 16:00:00","DUNWOD","675","21"
"2016/01/02 16:00:00","GENESE","1079","21"
"2016/01/02 16:00:00","HUD VL","1053","21"
"2016/01/02 16:00:00","LONGIL","2339","21"
"2016/01/02 16:00:00","MHK VL","765","21"
"2016/01/02 16:00:00","MILLWD","297","21"
"2016/01/02 16:00:00","N.Y.C.","5475","21"
"2016/01/02 16:00:00","NORTH","521","21"
"2016/01/02 16:00:00","WEST","1711","21"
"2016/01/02 17:00:00","CAPITL","1428","22"
"2016/01/02 17:00:00","CENTRL","1900","22"
"2016/01/02 17:00:00","DUNWOD","743","22"
"2016/01/02 17:00:00","GENESE","1169","22"
"2016/01/02 17:00:00","HUD VL","1164","22"
"2016/01/02 17:00:00","LONGIL","2637","22"
"2016/01/02 17:00:00","MHK VL","816","22"
"2016/01/02 17:00:00","MILLWD","347","22"
"2016/01/02 17:00:00","N.Y.C.","5804","22"
"2016/01/02 17:00:00","NORTH","536","22"
"2016/01/02 17:00:00","WEST","1849","22"
"2016/01/02 18:00:00","CAPITL","1421","23"
"2016/01/02 18:00:00","CENTRL","1896","23"
"2016/01/02 18:00:00","DUNWOD","760","23"
"2016/01/02 18:00:00","GENESE","1170","23"
"2016/01/02 18:00:00","HUD VL","1179","23"
"2016/01/02 18:00:00","LONGIL","2693","23"
"2016/01/02 18:00:00","MHK VL","816","23"
"2016/01/02 18:00:00","MILLWD","364","23"
"2016/01/02 18:00:00","N.Y.C.","5865","23"
"2016/01/02 18:00:00","NORTH","535","23"
"2016/01/02 18:00:00","WEST","1867","23"
"2016/01/02 19:00:00","CAPITL","1386","0"
"2016/01/02 19:00:00","CENTRL","1872","0"
"2016/01/02 19:00:00","DUNWOD","754","0"
"2016/01/02 19:00:00","GENESE","1148","0"
"2016/01/02 19:00:00","HUD VL","1173","0"
"2016/01/02 19:00:00","LONGIL","2652","0"
"2016/01/02 19:00:00","MHK VL","800","0"
